epoch,train_loss,val_loss,val_dice
1,0.26589572901212716,0.1643246527761221,0.4557575937156798
2,0.12359905983262424,0.08927123844623566,0.4911320523031463
3,0.07173815659612795,0.05937031870707869,0.5302425731577387
4,0.04932755215352849,0.04068099311552942,0.4754907817252388
5,0.036998879294135145,0.03354350365698337,0.5939970542349329
6,0.030305625776512714,0.026568444771692158,0.6329780986059632
7,0.025075395915751593,0.022395125590264797,0.7107136644423008
8,0.022031148477115587,0.01970690188463777,0.7226559154689312
9,0.018756802535698384,0.018565300246700646,0.7113869338296354
10,0.016822813308644522,0.0162342261755839,0.7280599188663472
11,0.015046819926628584,0.013881355640478432,0.7920656681060791
12,0.014091529774397045,0.014023801847361028,0.8110806897282601
13,0.012211395141703985,0.012070769211277366,0.7826800256967544
14,0.011109523218761705,0.012384326779283583,0.7863230094313621
15,0.010761274743966664,0.010541783855296671,0.8228798374533653
16,0.010806497635873907,0.010408497555181384,0.8023309744894505
17,0.009524617560761922,0.009047235292382539,0.8550881713628768
18,0.00917773579447707,0.01655110823921859,0.7687142755836248
19,0.009646132102094685,0.009537190210539847,0.8518153488636017
20,0.008198206681357343,0.007966212776955217,0.8535960748791694
21,0.008515298132242376,0.009441963129211218,0.8308031439781189
22,0.007297737077409048,0.00667211328400299,0.8842217355966568
23,0.0073622184336963525,0.007987998309545219,0.8669268041849136
24,0.006522192076715063,0.00734982118010521,0.8746354192495346
25,0.006299366703687259,0.007153329710126855,0.8680131524801254
26,0.006890126592420702,0.008420945494435728,0.849241104722023
27,0.006419551505742571,0.006519473280059173,0.8821692302823066
28,0.007014573458140079,0.00663849972479511,0.8821837708353997
29,0.00561583835684659,0.006641969279735349,0.8760559886693955
30,0.005642432323067531,0.00789601939613931,0.8661594837903976
31,0.005400411988744112,0.006725434877444059,0.8776902407407761
32,0.005023967884363064,0.0059788945451145995,0.89145577698946
33,0.0046477498916932675,0.005589473751024343,0.8979335129261017
34,0.0053132148658491295,0.008968518994515761,0.8326926365494728
35,0.005608644693260246,0.005965472719981335,0.8944618001580238
36,0.005043745043103972,0.005943398317322135,0.8882719621062278
37,0.00479586196022957,0.006086367776151747,0.890567284822464
38,0.00434602230307985,0.005282441960298456,0.9016219332814217
39,0.004364148838168505,0.006473295926116407,0.8902763605117798
40,0.004162753908600234,0.005663984382408671,0.8983486980199814
41,0.004237771437273514,0.005987334149540402,0.8875453785061836
42,0.004041070278433352,0.005804073726176284,0.8920937895774841
43,0.004530275902192143,0.005419786652782932,0.8960460022091865
44,0.0036873375478235983,0.005352652899455279,0.9018491491675377
45,0.004686534961411446,0.007387865614145994,0.873431670665741
46,0.0052432106826984905,0.00557004340516869,0.896860858798027
47,0.0037414624662981425,0.0056201297353254635,0.8966430261731148
48,0.003488121170379646,0.005229006437002681,0.89940205514431
49,0.003326817095880927,0.005458039822406136,0.9041565895080567
50,0.0031429416628236165,0.00541238508594688,0.9006646230816842
51,0.0031869599622006742,0.005672092553868424,0.8982763573527336
52,0.0036362267377096687,0.005222141326521523,0.9066519930958747
